Date,AAPL
2019-08-06,47.166255950927734
2019-08-07,47.654666900634766
2019-08-08,48.70573806762695
2019-08-09,48.30439376831055
2019-08-12,48.18181610107422
2019-08-13,50.22222900390625
2019-08-14,48.72736740112305
2019-08-15,48.4846305847168
2019-08-16,49.62861251831055
2019-08-19,50.553897857666016
2019-08-20,50.556297302246094
2019-08-21,51.104251861572266
2019-08-22,51.06100082397461
2019-08-23,48.7009391784668
2019-08-26,49.626220703125
2019-08-27,49.06623458862305
2019-08-28,49.3954963684082
2019-08-29,50.23183822631836
2019-08-30,50.166954040527344
2019-09-03,49.43634796142578
2019-09-04,50.275108337402344
2019-09-05,51.25807189941406
2019-09-06,51.253265380859375
2019-09-09,51.47195816040039
2019-09-10,52.08000183105469
2019-09-11,53.735897064208984
2019-09-12,53.6157341003418
2019-09-13,52.57268524169922
2019-09-16,52.849063873291016
2019-09-17,53.04133987426758
2019-09-18,53.538822174072266
2019-09-19,53.103824615478516
2019-09-20,52.327537536621094
2019-09-23,52.56546401977539
2019-09-24,52.315528869628906
2019-09-25,53.12063217163086
2019-09-26,52.84666442871094
2019-09-27,52.589508056640625
2019-09-30,53.82722091674805
2019-10-01,53.976226806640625
2019-10-02,52.623165130615234
2019-10-03,53.07017135620117
2019-10-04,54.55781555175781
2019-10-07,54.56985092163086
2019-10-08,53.93056106567383
2019-10-09,54.5626220703125
2019-10-10,55.298057556152344
2019-10-11,56.76889419555664
2019-10-14,56.687171936035156
2019-10-15,56.55499267578125
2019-10-16,56.32667541503906
2019-10-17,56.545379638671875
2019-10-18,56.816959381103516
2019-10-21,57.80231475830078
2019-10-22,57.670135498046875
2019-10-23,58.444000244140625
2019-10-24,58.54013442993164
2019-10-25,59.26112747192383
2019-10-28,59.85475158691406
2019-10-29,58.47044372558594
2019-10-30,58.463226318359375
2019-10-31,59.785057067871094
2019-11-01,61.4818000793457
2019-11-04,61.885562896728516
2019-11-05,61.7966423034668
2019-11-06,61.82305908203125
2019-11-07,62.53658676147461
2019-11-08,62.70775604248047
2019-11-11,63.204307556152344
2019-11-12,63.14645767211914
2019-11-13,63.75151062011719
2019-11-14,63.31037139892578
2019-11-15,64.06246185302734
2019-11-18,64.38546752929688
2019-11-19,64.19021606445312
2019-11-20,63.44294357299805
2019-11-21,63.15851974487305
2019-11-22,63.10306930541992
2019-11-25,64.20951843261719
2019-11-26,63.708106994628906
2019-11-27,64.5638656616211
2019-11-29,64.421630859375
2019-12-02,63.67676544189453
2019-12-03,62.541412353515625
2019-12-04,63.09342956542969
2019-12-05,64.0190658569336
2019-12-06,65.25569152832031
2019-12-09,64.34209442138672
2019-12-10,64.71814727783203
2019-12-11,65.27012634277344
2019-12-12,65.43646240234375
2019-12-13,66.3259506225586
2019-12-16,67.46131896972656
2019-12-17,67.59390258789062
2019-12-18,67.43241119384766
2019-12-19,67.49988555908203
2019-12-20,67.36007690429688
2019-12-23,68.45928955078125
2019-12-24,68.52436828613281
2019-12-26,69.88389587402344
2019-12-27,69.85739135742188
2019-12-30,70.2719955444336
2019-12-31,70.78543853759766
2020-01-02,72.4005126953125
2020-01-03,71.69664764404297
2020-01-06,72.26792907714844
2020-01-07,71.92805480957031
2020-01-08,73.08511352539062
2020-01-09,74.63750457763672
2020-01-10,74.8062515258789
2020-01-13,76.40442657470703
2020-01-14,75.3727035522461
2020-01-15,75.0496826171875
2020-01-16,75.98979187011719
2020-01-17,76.83108520507812
2020-01-21,76.31041717529297
2020-01-22,76.58279418945312
2020-01-23,76.95161437988281
2020-01-24,76.72982788085938
2020-01-27,74.47357177734375
2020-01-28,76.58038330078125
2020-01-29,78.18341827392578
2020-01-30,78.07011413574219
2020-01-31,74.60855102539062
2020-02-03,74.40367126464844
2020-02-04,76.86002349853516
2020-02-05,77.48675537109375
2020-02-06,78.39311218261719
2020-02-07,77.32754516601562
2020-02-10,77.69480895996094
2020-02-11,77.22604370117188
2020-02-12,79.05997467041016
2020-02-13,78.49703216552734
2020-02-14,78.5163345336914
2020-02-18,77.07864379882812
2020-02-19,78.1949691772461
2020-02-20,77.39277648925781
2020-02-21,75.6409912109375
2020-02-24,72.04798889160156
2020-02-25,69.60760498046875
2020-02-26,70.7118148803711
2020-02-27,66.08952331542969
2020-02-28,66.05086517333984
2020-03-02,72.2002182006836
2020-03-03,69.90719604492188
2020-03-04,73.14983367919922
2020-03-05,70.77706146240234
2020-03-06,69.83712005615234
2020-03-09,64.31356811523438
2020-03-10,68.9455337524414
2020-03-11,66.551025390625
2020-03-12,59.978797912597656
2020-03-13,67.16474151611328
2020-03-16,58.52421188354492
2020-03-17,61.097530364990234
2020-03-18,59.60186767578125
2020-03-19,59.14518356323242
2020-03-20,55.39032745361328
2020-03-23,54.21360397338867
2020-03-24,59.65260696411133
2020-03-25,59.32399368286133
2020-03-26,62.44580078125
2020-03-27,59.86040115356445
2020-03-30,61.568695068359375
2020-03-31,61.44305419921875
2020-04-01,58.2100944519043
2020-04-02,59.181434631347656
2020-04-03,58.3309211730957
2020-04-06,63.41954040527344
2020-04-07,62.68500900268555
2020-04-08,64.2894058227539
2020-04-09,64.75332641601562
2020-04-13,66.02427673339844
2020-04-14,69.35871124267578
2020-04-15,68.72564697265625
2020-04-16,69.27173614501953
2020-04-17,68.33180236816406
2020-04-20,66.91346740722656
2020-04-21,64.84514617919922
2020-04-22,66.71292114257812
2020-04-23,66.45439910888672
2020-04-24,68.37288665771484
2020-04-27,68.42121124267578
2020-04-28,67.31212615966797
2020-04-29,69.52303314208984
2020-04-30,70.98970031738281
